brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Πινακίδα,Σύνολοκατόχων,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κτέομέχρι,Παράδοσηστοσπίτι,Κλάσηρύπων,Μέγεθοςζάντας,Ρύποι(co2),Τέληκυκλοφορίας,Κατανάλωση,Αερόσακοι,Κίνηση
AlfaRomeo,Spider,1996,Alfa Romeo Spider '96 CABRİO FULL,AlfaRomeoSpiderCABRİOFULLEXTRA'96,18883918,2.200€,,Μεταχειρισμένο,Κάμπριο/Roadster,1/1996,197.000χλμ,Βενζίνη,2.000cc,140bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Δέρμα,Άγνωστο,,2,2,1ημέραπριν,50352,www.car.gr/18883918,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Υδραυλικό τιμόνι']",,,,,,,,4,Προσθιοκίνητο(FWD)
Mercedes-Benz,C200,2002,Mercedes-Benz C 200 '02 PANORAMA  FULL,Mercedes-BenzC200PANORAMAFULLEXTRA'02,327808127,4.000€,,Μεταχειρισμένο,Κουπέ-Σπόρ,8/2002,190.000χλμ,Βενζίνη,1.998cc,192bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Δίχρωμο,Ύφασμα,Άγνωστο,,3,5,1ημέραπριν,7319,www.car.gr/327808127,"2110134334,2102775011,6977250243","['Abs', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή πανοραμική', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,19ίντσες,,,,,Πισωκίνητο(RWD)
Nissan,Primera,2005,Nissan Primera '05,NissanPrimeraΑΥΤΟΜΑΤΟ!ΜΟΝΑΔΙΚΟ!!EXCLUSIVE!'05,332504525,4.900€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2005,224.000χλμ,Βενζίνη,1.800cc,120bhp,Αυτόματο,Μπλέ(Μεταλλικό),Γκρι,Ύφασμα,Ζυγό,,4,5,6λεπτάπριν,270,www.car.gr/332504525,"6977217504,6977711072","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",10/2024,,,16ίντσες,,,,6,Προσθιοκίνητο(FWD)
Jeep,Cherokee,2007,Jeep Cherokee '07 2.800 CRD,JeepCherokee2.800CRDFacelift'07,330850736,10.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2007,174.000χλμ,Πετρέλαιο,2.776cc,163bhp,Χειροκίνητο,Μαύρο,,,Μονό,2,5,5,2ημέρεςπριν,356,www.car.gr/330850736,6974024738,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,16ίντσες,,,,2,4x4(4WD)
Toyota,Corolla,2017,Toyota Corolla '17 'ΠΡΟΣΦΟΡΑ'D Active,ToyotaCorolla'ΠΡΟΣΦΟΡΑ'DActiveFACE'ΑΓΓΕΛΙΔΗ'CJL1.4ΕΛΛΗΝ.EURO6'17,332716861,13.990€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,10/2017,145.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,Ζυγό,1,4,5,2ημέρεςπριν,54,www.car.gr/332716861,"2106396766,2108061962,6948235833","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",9/2023,,Euro6,15ίντσες,89g/km,0€,,8,Προσθιοκίνητο(FWD)
Jeep,Renegade,2016,Jeep Renegade '16 limited,JeepRenegadelimitededition'16,332139805,18.450€,"315,91€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2016,102.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Ασπρο,,,Ζυγό,1,5,5,2ημέρεςπριν,358,www.car.gr/332139805,2610433645,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,Euro6,17ίντσες,115g/km,112€,,6,
Porsche,911,2005,Porsche 911 '05  997 CARRERA S CABRIO,Porsche911997CARRERASCABRIO'05,334255839,52.000€,,Μεταχειρισμένο,Κάμπριο/Roadster,5/2005,191.000χλμ,Βενζίνη,3.800cc,370bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Δέρμα,Ζυγό,,2,4,9ώρεςπριν,409,www.car.gr/334255839,6945446483,"['Abs', 'Android auto', 'Bluetooth', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,Euro4,19ίντσες,,,,,Πισωκίνητο(RWD)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,116,2013,Bmw 116 '13,Bmw1161.6d'13,333652722,13.490€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2013,113.333χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Καφέ(Μεταλλικό),Μαύρο,Ύφασμα,Ζυγό,1,5,5,2ώρεςπριν,428,www.car.gr/333652722,"2103428671,6978188818","['Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,16ίντσες,,,,6,
Citroen,Jumpy,2004,Citroen Jumpy '04,CitroenJumpyΨΥΓΕΊΑ'04,323249020,4.000€,,Μεταχειρισμένο,Αλλο,1/2004,343.000χλμ,Πετρέλαιο,1.900cc,109bhp,Χειροκίνητο,Ασπρο,,,Ζυγό,,4,2,2ημέρεςπριν,1004,www.car.gr/323249020,"6978001722,6978001722","['Abs', 'Cd player', 'Esp']",,,,,,,,,
Opel,Vectra,2004,Opel Vectra,OpelVectra'04,328837010,3.800€,,Μεταχειρισμένο,Αλλο,1/2004,200.000χλμ,Αέριο(lpg)-βενζίνη,1.600cc,105bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,,Άγνωστο,,5,5,2ημέρεςπριν,1312,www.car.gr/328837010,"6978001722,6978001722","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή']",,,,,,,,,
Audi,A4,2009,Audi A4,AudiA4'09,319982362,14.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,141.100χλμ,Βενζίνη,2.000cc,290bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Καφέ,Δέρμα,Ζυγό,,4,4,1ημέραπριν,12047,www.car.gr/319982362,6984259552,"['Abs', 'Bluetooth', 'Cd player', 'Dvd', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,19ίντσες,,690€,"10(Εντός)/8,50(Εκτός)/9(Μικτό)λ/100χλμ",,Προσθιοκίνητο(FWD)
Fiat,Strada,2014,Fiat Strada,FiatStrada'14,333600801,14.500€Χωρίςφπα,,Μεταχειρισμένο,Αγροτικό/Pickup,1/2014,87.000χλμ,Πετρέλαιο,1.300cc,95bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,,Ζυγό,,2,2,2ημέρεςπριν,263,www.car.gr/333600801,"6978001722,6978001722","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Usb', 'Αγροτικό', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Τιμή χωρίς φπα', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,Euro5,,,105€,,,
Fiat,Fiorino,2010,Fiat Fiorino,FiatFiorino'10,334024680,7.450€,"150,38€/μήνα",Μεταχειρισμένο,Van/MiniBus,1/2010,105.000χλμ,Αέριο(lpg)-βενζίνη,1.400cc,80bhp,Χειροκίνητο,Κόκκινο(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,4,2,20λεπτάπριν,214,www.car.gr/334024680,"6983798465,6942528636","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Keyless', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συρόμενη πόρτα δεξιά', 'Υδραυλικό τιμόνι']",5/2025,Ναι,,,,,,,
Chrysler,Sebring,2005,Chrysler Sebring '05 0 ΠΡΟΚΑΤΑΒΟΛΗ ΕΩΣ 60,ChryslerSebring0ΠΡΟΚΑΤΑΒΟΛΗΕΩΣ60ΔΟΣΕΙΣ'05,332882776,5.490€,"110,81€/μήνα",Μεταχειρισμένο,Κάμπριο/Roadster,10/2005,140.000χλμ,Βενζίνη,2.000cc,160bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μπεζ,Δέρμα-ύφασμα,Μονό,1,3,5,24ώρεςπριν,124,www.car.gr/332882776,"6983798465,6942528636","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,,,,,
Honda,Civic,1984,Honda Civic,HondaCivic'84,330283374,1.999€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/1984,90.000χλμ,Βενζίνη,1.200cc,70bhp,Χειροκίνητο,Γκρι,Γκρι,Alcantara,Άγνωστο,1,4,5,6ώρεςπριν,7664,www.car.gr/330283374,"6982893554,6982759952",[],8/2024,,,13ίντσες,,,"7(Εντός)/8(Εκτός)/7,50(Μικτό)λ/100χλμ",,
Mercedes-Benz,A160,2001,Mercedes-Benz A 160 '01,Mercedes-BenzA160Elegance'01,334272908,3.199€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2001,194.722χλμ,Βενζίνη,1.598cc,102bhp,Χειροκίνητο,Πράσινοσκούρο(Μεταλλικό),Γκρι,Ύφασμα,Ζυγό,1,5,5,6ώρεςπριν,719,www.car.gr/334272908,6945322197,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Συναγερμός', 'Υδραυλικό τιμόνι']",12/2023,,Euro4,15ίντσες,172g/km,260€,"10(Εντός)/6(Εκτός)/7,50(Μικτό)λ/100χλμ",6,Προσθιοκίνητο(FWD)
Citroen,C5,2009,Citroen C5 '09 FULL EXTRA 56.000,CitroenC5FULLEXTRA56.000ΧΙΛΟΜΕΤΡΑ'09,331299031,9.750€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2009,56.000χλμ,Αέριο(lpg)-βενζίνη,2.000cc,150bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Βελούδο,Άγνωστο,1,5,5,1ημέραπριν,1551,www.car.gr/331299031,"2110134334,2102775011,6977250243","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2024,,,,,,,,
Chevrolet,Aveo,2013,Chevrolet Aveo '13 DIESEL FULL,ChevroletAveoDIESELFULLEXTRA'13,332995815,6.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2013,166.000χλμ,Πετρέλαιο,1.248cc,97bhp,Χειροκίνητο,Μπλεσκούρο,Μαύρο,Ύφασμα,Άγνωστο,,5,5,1ημέραπριν,519,www.car.gr/332995815,"2110134334,2102775011,6977250243","['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",6/2024,,,,,,,,
Skoda,Fabia,2012,Skoda Fabia '12,SkodaFabiaTSI'12,334432549,7.400€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2012,168.000χλμ,Βενζίνη,1.200cc,105bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,Μονό,,5,5,1ημέραπριν,54,www.car.gr/334432549,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",6/2024,,,,,135€,,,
AlfaRomeo,GT,2004,Alfa Romeo GT '04 CARBON FULL EXTRA,AlfaRomeoGTCARBONFULLEXTRABERTONE'04,333599979,5.500€,,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2004,186.000χλμ,Βενζίνη,1.747cc,140bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Άλλο,Δέρμα,Ζυγό,,3,5,1ημέραπριν,1116,www.car.gr/333599979,"2110134334,2102775011,6977250243","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,Προσθιοκίνητο(FWD)
Hyundai,Accent,2008,Hyundai Accent '08,HyundaiAccentAUTOMATIC'08,334180045,5.600€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2008,180.000χλμ,Βενζίνη,1.400cc,90bhp,Αυτόματο,Ασημί(Μεταλλικό),Γκρι,Δέρμα,Μονό,,5,5,1ημέραπριν,313,www.car.gr/334180045,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Immobilizer', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",8/2023,,,,,,,,
Suzuki,Vitara,1997,Suzuki Vitara '97 4x4,SuzukiVitara4x4CABRIO'97,332855305,3.990€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/1997,174.000χλμ,Βενζίνη,1.590cc,95bhp,Χειροκίνητο,Μαύρο,Γκρι,Ύφασμα,Ζυγό,,3,5,1ημέραπριν,1482,www.car.gr/332855305,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Υδραυλικό τιμόνι']",9/2024,,,,,,,,4x4(4WD)
Seat,Leon,2000,Seat Leon '00 LPG ΓΙΑ ΛΙΓΕΣ,SeatLeonLPGΓΙΑΛΙΓΕΣΜΕΡΕΣ'00,332844213,2.700€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2000,,Αέριο(lpg)-βενζίνη,1.390cc,90bhp,Χειροκίνητο,Άλλο,Γκρι,Ύφασμα,Άγνωστο,,5,5,1ημέραπριν,1174,www.car.gr/332844213,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",8/2024,,,,,,,,
Kia,Rio,2015,Kia Rio,KiaRio'15,332154092,7.200€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2015,178.000χλμ,Βενζίνη,1.248cc,85bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,Άγνωστο,,5,5,1ημέραπριν,2728,www.car.gr/332154092,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",8/2023,,,,,,,,
Mercedes-Benz,B170,2008,Mercedes-Benz B 170 '08 AUTOMATIC FULL,Mercedes-BenzB170AUTOMATICFULLEXTRA'08,331144628,9.000€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2008,147.000χλμ,Βενζίνη,1.699cc,115bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,Ζυγό,,5,5,1ημέραπριν,2928,www.car.gr/331144628,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2024,,,17ίντσες,,,,,
Mercedes-Benz,CLK200,2005,Mercedes-Benz CLK 200 '05 AVANGARDE AUTOMATIC FULL,Mercedes-BenzCLK200AVANGARDEAUTOMATICFULLEXTRA'05,331212761,8.500€,,Μεταχειρισμένο,Αλλο,10/2005,,Βενζίνη,1.796cc,163bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Ύφασμα,Ζυγό,2,2,5,1ημέραπριν,2924,www.car.gr/331212761,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Parktronic', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2024,,,,,300€,,,
Mercedes-Benz,ML320,2002,Mercedes-Benz ML 320 '02 FULL EXTRA,Mercedes-BenzML320FULLEXTRAAYTOMATIC'02,21571662,5.000€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2002,,Βενζίνη,3.200cc,230bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,Άγνωστο,,5,5,1ημέραπριν,26115,www.car.gr/21571662,"2110134334,2102775011,6977250243","['Abs', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",1/2020,,,,,,,,4x4(4WD)
