brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Παράδοσηστοσπίτι,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας
Toyota,Avensis,2007,Toyota Avensis '07  Combi 1.8,ToyotaAvensisCombi1.8Sol'07,334430387,8.200€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,4/2007,119.000χλμ,Βενζίνη,1.794cc,129bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μπεζ,Δέρμα,4/2025,,,16ίντσες,,"7,20(Μικτό)λ/100χλμ",Μονό,,,,4,5,,1ώραπριν,825,www.car.gr/334430387,6908863417,"['{Abs', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Parktronic', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Συναγερμός', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,
Volvo,V60,2015,Volvo V60 '15  D4,VolvoV60D4Momentum-Navi-Xenon-Euro6w'15,323755232,14.500€,,Μεταχειρισμένο,Κόμπι/Kάραβαν,8/2015,199.000χλμ,Πετρέλαιο,1.969cc,181bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,6/2024,99g/km,Euro6,17ίντσες,89€,,Χωρίς,1,Προσθιοκίνητο(FWD),10,5,5,Ναι,36λεπτάπριν,300,www.car.gr/323755232,"2108319400,6944181010,6974673040","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,
Smart,ForTwo,2018,Smart ForTwo '18 BRABUS XCLUSIVE,SmartForTwoBRABUSXCLUSIVEORIGINAL'18,334492892,25.950€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2018,55.300χλμ,Βενζίνη,898cc,109bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα,,,Euro6,17ίντσες,,,Ζυγό,1,,5,3,2,,10ώρεςπριν,77,www.car.gr/334492892,"2108939034,2108939035,6937427184","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
Skoda,Kamiq,2019,Skoda Kamiq '19 1.6 TDI DSG 115 PS SPORTLINE,"SkodaKamiq1.6TDIDSG115PSSPORTLINE18""'19",331301185,27.500€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2019,39.900χλμ,Πετρέλαιο,1.598cc,115bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,11/2023,112g/km,Euro6d,18ίντσες,110€,,Μονό,1,Προσθιοκίνητο(FWD),6,5,5,,36λεπτάπριν,681,www.car.gr/331301185,"2108319400,6944181010,6974673040","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
Bmw,225ActiveTourer,2017,Bmw 225 Active Tourer '17 xe M,Bmw225ActiveTourerxeMSportpaket-Panorama'17,36796595,28.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2017,39.900χλμ,Υβριδικόβενζίνη,1.499cc,224bhp,Αυτόματο,Μπλέ(Μεταλλικό),Μαύρο,Δέρμα,3/2022,46g/km,Euro6,18ίντσες,0€,,Άγνωστο,1,4x4(4WD),10,5,5,,36λεπτάπριν,356,www.car.gr/36796595,"2108319400,6944181010,6974673040","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Εισαγωγής', '{Επιταγές δεκτές', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα xenon', '{Φώτα που στρίβουν']",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,i20,2017,Hyundai i 20 '17 ΕΛΛΗΝΙΚΟ SUPERCARS XANIA,Hyundaii20ΕΛΛΗΝΙΚΟSUPERCARSXANIA'17,334169290,12.250€,"194,62€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,119.020χλμ,Πετρέλαιο,1.100cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,9/2023,97g/km,Euro6,16ίντσες,85€,5(Μικτό)λ/100χλμ,Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,Ναι,14ώρεςπριν,84,www.car.gr/334169290,"2821089922,6977088528","['Abs', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,
Honda,Civic,1984,Honda Civic,HondaCivic'84,330283374,1.999€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/1984,90.000χλμ,Βενζίνη,1.200cc,70bhp,Χειροκίνητο,Γκρι,Γκρι,Alcantara,8/2024,,,13ίντσες,,"7(Εντός)/8(Εκτός)/7,50(Μικτό)λ/100χλμ",Άγνωστο,1,,,4,5,,1ώραπριν,7834,www.car.gr/330283374,"6982893554,6982759952",[],,,,,
Bmw,X5,2014,Bmw X5 '14  xDrive50i,BmwX5xDrive50iF15'14,319549753,52.500€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2014,91.000χλμ,Βενζίνη,4.395cc,449bhp,Αυτόματο,Γκρι,Μαύρο,Δέρμα,1/2024,244g/km,Euro6,20ίντσες,744€,,Μονό,1,4x4(4WD),10,5,5,,37λεπτάπριν,252,www.car.gr/319549753,"2108319400,6944181010,6974673040","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,
Smart,ForTwo,2017,Smart ForTwo '17 BRABUS ORIGINAL FULL,SmartForTwoBRABUSORIGINALFULLSERVICE'17,333365852,22.500€,,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2017,95.300χλμ,Βενζίνη,898cc,109bhp,Αυτόματο,Μαύρο,Μαύρο,Δέρμα-ύφασμα,,,Euro6,17ίντσες,,,Ζυγό,1,Πισωκίνητο(RWD),5,3,2,,10ώρεςπριν,516,www.car.gr/333365852,"2108939034,2108939035,6937427184","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οροφή πανοραμική', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,
