brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Αυτονομίαμπαταρίας,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Παράδοσηστοσπίτι,Kilowatt
Bmw,440,2020,Bmw 440 '20 M440i coupe xDrive,Bmw440M440icoupexDrive'20,327407957,78.900€,"1.178,85€/μήνα",Μεταχειρισμένο,Κουπέ-Σπόρ,10/2020,32.860χλμ,Βενζίνη,2.998cc,385bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μπεζ,Δέρμα,10/2023,157g/km,Euro6d-temp,19ίντσες,290€,"8,50(Εντός)/9,50(Εκτός)/9(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),8,2,4,4ώρεςπριν,20984,www.car.gr/327407957,"6948835645,6972821014","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,
Opel,Astra,2016,Opel Astra '16 *ANDREADIS CARS*ΑΥΤΟΜΑΤΟ-EURO,OpelAstra*ANDREADISCARS*ΑΥΤΟΜΑΤΟ-EURO6-DIESEL'16,333841639,12.990€,"291,59€/μήνα",Μεταχειρισμένο,Κόμπι/Kάραβαν,9/2016,170.000χλμ,Πετρέλαιο,1.600cc,136bhp,Αυτόματο,Ασημί,,,,,Euro6,,,,Μονό,,,,5,5,2ημέρεςπριν,110,www.car.gr/333841639,"2114188539,6932899838",[],,,,,,
Bmw,225,2017,Bmw 225 '17 XE M Sport Panorama,Bmw225XEMSportPanorama'17,328355704,29.400€,,Μεταχειρισμένο,Αλλο,8/2017,59.300χλμ,Υβριδικόplug-inβενζίνη,1.496cc,224bhp,Αυτόματο,Ασπρο,Μαύρο,Δέρμα,3/2024,49g/km,Euro6c,18ίντσες,0€,"4,60(Εντός)/5(Εκτός)/4,80(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,4ώρεςπριν,2568,www.car.gr/328355704,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",42χλμ,6ώρες,1ώρες,90kwh,,
Mini,ONE,2015,Mini ONE '15 1200cc _84 Km Book Service Mini ! EURO,MiniONE1200cc_84KmBookServiceMini!EURO6'15,331649326,13.999€,"224,81€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2015,84.000χλμ,Βενζίνη,1.200cc,105bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,,,Euro6,15ίντσες,,4(Μικτό)λ/100χλμ,Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,7ώρεςπριν,621,www.car.gr/331649326,"2102843056,2102843455","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,
Smart,ForFour,2020,Smart ForFour '20  electric drive,SmartForFourelectricdrivepanorama'20,331736608,19.200€,,Μεταχειρισμένο,Αλλο,2/2020,21.300χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Ύφασμα,2/2023,,,15ίντσες,,,Άγνωστο,1,,8,5,5,4ώρεςπριν,1811,www.car.gr/331736608,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led', 'Φώτα που στρίβουν']",150χλμ,6ώρες,1ώρες,61kwh,,61kw
Smart,ForTwo,2020,Smart ForTwo '20 Passion electric,SmartForTwoPassionelectric'20,330427315,17.700€,,Μεταχειρισμένο,Αλλο,10/2020,9.500χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Ασπρο,Δίχρωμο,Ύφασμα,10/2023,,,15ίντσες,,,Άγνωστο,1,Προσθιοκίνητο(FWD),4,3,2,4ώρεςπριν,1908,www.car.gr/330427315,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",150χλμ,6ώρες,1ώρες,61kwh,,61kw
Bmw,225XE,2017,Bmw 225XE '17 M Sport Panorama plug in,Bmw225XEMSportPanoramaplugin'17,326715564,28.900€,"431,80€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2017,52.000χλμ,Υβριδικόplug-inβενζίνη,1.499cc,224bhp,Αυτόματο,Ασπρο,Μαύρο,Δέρμα,9/2025,48g/km,Euro6c,18ίντσες,0€,"3,50(Εντός)/4(Εκτός)/3,80(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,4ώρεςπριν,7669,www.car.gr/326715564,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",42χλμ,6ώρες,1ώρες,81kwh,,
Smart,ForTwo,2017,Smart ForTwo '17 electric drive prime,SmartForTwoelectricdriveprime'17,330426421,13.800€,,Μεταχειρισμένο,Αλλο,12/2017,32.000χλμ,Ηλεκτρικό,,82bhp,Αυτόματο,Ασπρο,Μαύρο,Δέρμα,2/2024,,,15ίντσες,,,Ζυγό,1,Προσθιοκίνητο(FWD),4,3,2,4ώρεςπριν,1624,www.car.gr/330426421,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",150χλμ,6ώρες,1ώρες,61kwh,,61kw
Nissan,Almera,2004,Nissan Almera,NissanAlmera'04,330616781,1.500€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,3/2004,454.000χλμ,Βενζίνη,1.497cc,10bhp,Χειροκίνητο,Μπορντό(Μεταλλικό),Γκρι,,,,,,,,Μονό,2,,,5,4,3ημέρεςπριν,2971,www.car.gr/330616781,6932729014,"['Abs', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κλιματισμός(a\\u002Fc)']",,,,,,
Hyundai,i20,2016,Hyundai i 20 '16 1250cc _Book Service 96 Km -EURO 6- ΑΡΙΣΤΟ,Hyundaii201250cc_BookService96Km-EURO6-ΑΡΙΣΤΟ!'16,334071960,11.700€,"187,89€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2016,96.000χλμ,Βενζίνη,1.250cc,80bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,Ύφασμα,,,Euro6,,,"4,10(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,5,5,7ώρεςπριν,269,www.car.gr/334071960,"2102843056,2102843455","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
Hyundai,i10,2011,Hyundai i 10 '11 1100cc _ΑΡΙΣΤΟ ! BOOK SERVICE HYUNDAI,Hyundaii101100cc_ΑΡΙΣΤΟ!BOOKSERVICEHYUNDAI-'11,332959182,7.300€,"277,64€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2011,117.000χλμ,Βενζίνη,1.100cc,72bhp,Χειροκίνητο,Ασημί(Μεταλλικό),,Ύφασμα,,,Euro5,,,,Άγνωστο,1,Προσθιοκίνητο(FWD),6,5,5,7ώρεςπριν,566,www.car.gr/332959182,"2102843056,2102843455","['Abs', 'Cd player', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι']",,,,,,
Mercedes-Benz,GLC300,2020,Mercedes-Benz GLC 300 '20 Coupe 300de 4matic AMG,Mercedes-BenzGLC300Coupe300de4maticAMG9G'20,333620619,70.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2020,50.200χλμ,Υβριδικόplug-inπετρέλαιο,1.950cc,306bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Alcantara,12/2023,48g/km,Euro6d-temp,19ίντσες,0€,,Άγνωστο,1,,10,5,5,4ώρεςπριν,2225,www.car.gr/333620619,"6948835645,6972821014","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",48χλμ,,,,,
Audi,Q5,2014,Audi Q5 '14 2*S line Panorama MMI,AudiQ52*SlinePanoramaMMI'14,328873313,29.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2014,161.500χλμ,Πετρέλαιο,1.998cc,190bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,1/2024,149g/km,Euro6,19ίντσες,150€,"7,50(Εντός)/7(Εκτός)/7,40(Μικτό)λ/100χλμ",Ζυγό,1,4x4(4WD),10,5,5,4ώρεςπριν,2410,www.car.gr/328873313,"6948835645,6972821014","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,
Ford,Fiesta,2017,Ford Fiesta '17 1242cc - EURO 6 - ΑΡΙΣΤΟ,FordFiesta1242cc-EURO6-ΑΡΙΣΤΟ!'17,328781089,8.999€,"144,52€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2017,99.000χλμ,Βενζίνη,1.242cc,70bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,,Euro6,,,"4,30(Μικτό)λ/100χλμ",Άγνωστο,1,Προσθιοκίνητο(FWD),8,3,5,7ώρεςπριν,2202,www.car.gr/328781089,"2102843056,2102843455","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,
LandRover,RangeRoverEvoque,2019,Land Rover Range Rover Evoque '19 Mild hybrid D180 SE,LandRoverRangeRoverEvoqueMildhybridD180SE'19,323363108,55.000€,"821,76€/μήνα",Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2019,59.000χλμ,Πετρέλαιο,1.998cc,180bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,11/2022,145g/km,Euro6d-temp,20ίντσες,268€,"6(Εντός)/7(Εκτός)/6,50(Μικτό)λ/100χλμ",Άγνωστο,1,4x4(4WD),10,5,5,10ώρεςπριν,13179,www.car.gr/323363108,"6948835645,6972821014","['Δεξιοτίμονα', 'Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche,Cayenne,2015,Porsche Cayenne '15 E Hybrid S,PorscheCayenneEHybridS'15,325829009,57.900€,,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2015,87.000χλμ,Υβριδικόplug-inβενζίνη,3.000cc,416bhp,Αυτόματο,Ασημί(Μεταλλικό),Μαύρο,Δέρμα,6/2023,65g/km,Euro6,20ίντσες,0€,7(Εντός)/9(Εκτός)/8(Μικτό)λ/100χλμ,Ζυγό,1,4x4(4WD),10,5,5,10ώρεςπριν,4466,www.car.gr/325829009,"6948835645,6972821014","['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",40χλμ,6ώρες,1ώρες,90kwh,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Pixo,2010,Nissan Pixo '10 *ANDREADIS,NissanPixo*ANDREADISCARS*'10,333631402,5.990€,"134,46€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2010,130.000χλμ,Βενζίνη,1.000cc,80bhp,Χειροκίνητο,Κόκκινο,,,,,,,,,Μονό,,,,5,4,1ημέραπριν,362,www.car.gr/333631402,"2114188539,6932899838",[],,,,,,
Mercedes-Benz,C230,2008,Mercedes-Benz C 230 '08 *ANDREADIS CARS*C 63 AMG LOOK 7 G-TRONIC,Mercedes-BenzC230*ANDREADISCARS*C63AMGLOOK7G-TRONIC'08,332476635,17.990€,"403,82€/μήνα",Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2008,180.000χλμ,Βενζίνη,2.496cc,260bhp,Αυτόματο,Ασπρο,,,,,,,,,Μονό,,,,4,5,1ημέραπριν,1044,www.car.gr/332476635,"2114188539,6932899838",[],,,,,,
Bmw,530,2009,Bmw 530 '09 LCI M5 Θωρακισμένο,Bmw530LCIM5ΘωρακισμένοB4+'09,330009598,27.990€,,Μεταχειρισμένο,Λιμουζίνα/Sedan,7/2009,179.000χλμ,Βενζίνη,3.000cc,272bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,,,,19ίντσες,920€,10(Μικτό)λ/100χλμ,Άγνωστο,1,Πισωκίνητο(RWD),,4,5,2ώρεςπριν,5544,www.car.gr/330009598,6987696000,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Θωρακισμένο', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,,,
Mercedes-Benz,SLK200,2005,Mercedes-Benz SLK 200 '05 KOMPRESSOR AMG,Mercedes-BenzSLK200KOMPRESSORAMGLOOK'05,331405757,14.800€,,Μεταχειρισμένο,Κάμπριο/Roadster,1/2005,135.000χλμ,Αέριο(lpg)-βενζίνη,1.800cc,205bhp,Αυτόματο,Άλλο(Μεταλλικό),Καφέ,Δέρμα,2/2025,,,18ίντσες,,,Ζυγό,2,,6,2,2,10ώρεςπριν,1926,www.car.gr/331405757,2102832694,"['Abs', 'Adaptive cruise control (acc)', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hardtop', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",,,,,,
