brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατηγορία,Χρονολογία,Καύσιμο,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Πινακίδα,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατάσταση,Χιλιόμετρα,Κυβικά,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Σύνολοκατόχων,Κτέομέχρι,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Κίνηση,Παράδοσηστοσπίτι
Toyota,Yaris,2017,Toyota Yaris '17 1.5L HYBRID,ToyotaYaris1.5LHYBRIDNAVI'17,323246257,15.499€,"408,78€/μήνα",Κόμπακτ/Hatchback,10/2017,Υβριδικόβενζίνη,,,,,105bhp,Αυτόματο,Ασημί(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,833,www.car.gr/323246257,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,169χλμ,1.500cc,15ίντσες,0€,"3,50(Εντός)/3,50(Εκτός)/3,50(Μικτό)λ/100χλμ",1,10/2022,Γκρι,95g/km,Euro6,Προσθιοκίνητο(FWD),
Toyota,Yaris,2013,Toyota Yaris '13 Navi 1.5l,ToyotaYarisNavi1.5lHybrid'13,322426798,12.499€,"329,66€/μήνα",Κόμπακτ/Hatchback,10/2013,Υβριδικόβενζίνη,,,,,105bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,1190,www.car.gr/322426798,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,160.000χλμ,1.500cc,16ίντσες,0€,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,1,4/2024,Γκρι,98g/km,Euro6,Προσθιοκίνητο(FWD),Ναι
Volkswagen,Golf,2015,Volkswagen Golf,VolkswagenGolf'15,323549934,14.500€,,Κόμπακτ/Hatchback,1/2015,Πετρέλαιο,,,,,116bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Ύφασμα,Ζυγό,7,5,5,4ώρεςπριν,25,www.car.gr/323549934,"2170002658,6970151950","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,115.000χλμ,1.600cc,16ίντσες,85€,,1,5/2023,Μπεζ,99g/km,Euro5,,
Toyota,Yaris,2015,Toyota Yaris '15 Hybrid ΟΛΟΚΑΙΝΟΥΡΙΟ Cvt,ToyotaYarisHybridΟΛΟΚΑΙΝΟΥΡΙΟCvt'15,334481958,13.300€,,Κόμπακτ/Hatchback,1/2015,Υβριδικόβενζίνη,,,,,100bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ύφασμα,Ζυγό,6,5,5,4ώρεςπριν,94,www.car.gr/334481958,"2170002658,6970151950","['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,128.000χλμ,1.497cc,15ίντσες,0€,"3,50(Εντός)/4,50(Εκτός)/4(Μικτό)λ/100χλμ",1,6/2026,Δίχρωμο,76g/km,Euro6,,
Toyota,Yaris,2018,Toyota Yaris '18 1.5L HYBRID SPORT NAVI δερμα,ToyotaYaris1.5LHYBRIDSPORTNAVIδερμαPANORAMA'18,322426844,16.850€,"444,41€/μήνα",Κόμπακτ/Hatchback,10/2018,Υβριδικόβενζίνη,,,,,106bhp,Αυτόματο,Μπλέ(Μεταλλικό),Δέρμα,Άγνωστο,8,5,5,6ώρεςπριν,2082,www.car.gr/322426844,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,71.000χλμ,1.500cc,16ίντσες,0€,"3,50(Εντός)/3,50(Εκτός)/3,50(Μικτό)λ/100χλμ",1,4/2024,Γκρι,90g/km,Euro6,Προσθιοκίνητο(FWD),
Toyota,C-HR,2021,Toyota C-HR '21 GR SPORT 2.0L 184PS Ultimate,ToyotaC-HRGRSPORT2.0L184PSUltimateEdition'21,326203961,36.999€,"1.001,84€/μήνα",4χ4/Τζιπ/Suv,8/2021,Υβριδικόβενζίνη,,,,,184bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δέρμα,Άγνωστο,10,5,5,6ώρεςπριν,2201,www.car.gr/326203961,"6949255100,6949255100","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μεταχειρισμένο,7.000χλμ,2.000cc,19ίντσες,90€,5(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ,1,8/2023,Μαύρο,105g/km,Euro6,Προσθιοκίνητο(FWD),
Opel,Corsa,2020,Opel Corsa '20 1.200cc Elegance,OpelCorsa1.200ccEleganceTurbo100HP'20,332324979,15.800€,,Κόμπακτ/Hatchback,2/2020,Βενζίνη,,,,,100bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δέρμα-ύφασμα,Άγνωστο,8,5,5,44λεπτάπριν,2176,www.car.gr/332324979,6984082330,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντικλεπτικό gps', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,72.050χλμ,1.200cc,16ίντσες,75€,,1,,Μαύρο,,,Προσθιοκίνητο(FWD),
Opel,Insignia,2012,Opel Insignia '12,OpelInsigniacosmos'12,330239250,11.800€,,Λιμουζίνα/Sedan,8/2012,Βενζίνη,,,,,180bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Δέρμα,Μονό,,5,5,1ημέραπριν,2517,www.car.gr/330239250,"6979759523,6942888085","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μεταχειρισμένο,75.500χλμ,1.600cc,18ίντσες,401€,"7,30(Εντός)/6,20(Εκτός)/6,80(Μικτό)λ/100χλμ",2,10/2024,Μαύρο,,Euro5,,
Renault,Megane,2004,Renault Megane '04 Πετρέλαιο,RenaultMeganeΠετρέλαιο'04,334431831,3.200€,,Λιμουζίνα/Sedan,1/2004,Πετρέλαιο,,,,,90bhp,Χειροκίνητο,Ασπρο,,Ζυγό,4,5,5,1ημέραπριν,109,www.car.gr/334431831,"6906503015,6977601874","['Abs', 'Cd player', 'Esp', 'Hardtop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Turbo', 'Αισθητήρας βροχής', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,168.000χλμ,1.500cc,15ίντσες,,,,,,,,,
Toyota,Yaris,2018,Toyota Yaris '18 1.5 •Y20 •Bi Tone,ToyotaYaris1.5•Y20•BiTone•116Hp'18,332823871,14.990€,"223,97€/μήνα",Κόμπακτ/Hatchback,1/2018,Βενζίνη,,,,,116bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),Ύφασμα,Άγνωστο,6,4,5,1ημέραπριν,1961,www.car.gr/332823871,6985945400,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Μεταχειρισμένο,55.600χλμ,1.500cc,17ίντσες,,,1,1/2025,Δίχρωμο,,Euro6d,,
Hyundai,i30,2018,Hyundai i 30 '18 1.4 active,Hyundaii301.4active100hp'18,334498385,15.500€,"299,01€/μήνα",Κόμπακτ/Hatchback,3/2018,Βενζίνη,,,,,100bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Μονό,,5,5,1ημέραπριν,18,www.car.gr/334498385,2311230030,[],Μεταχειρισμένο,94.809χλμ,1.400cc,,,,,,,,,,
Peugeot,307,2006,Peugeot 307,Peugeot307'06,334007181,3.300€,,Κόμπακτ/Hatchback,1/2006,Βενζίνη,,,,,95bhp,Χειροκίνητο,Μαύρο,,Μονό,,5,5,1ημέραπριν,1171,www.car.gr/334007181,6948886161,"['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με μοτο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,102.000χλμ,1.400cc,,,,1,1/2025,,,,,
Ford,Focus,2017,Ford Focus '17 Business + / ΤΕΛΗ ΚΥΚΛ. 0,FordFocusBusiness+/ΤΕΛΗΚΥΚΛ.0€!!!'17,334422955,12.999€,,Κόμπακτ/Hatchback,10/2017,Πετρέλαιο,,,,,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,Ζυγό,8,5,5,5ώρεςπριν,202,www.car.gr/334422955,2310989447,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,150χλμ,1.500cc,17ίντσες,0€,"5,40(Μικτό)λ/100χλμ",1,9/2023,Γκρι,88g/km,Euro6d,Προσθιοκίνητο(FWD),
Volkswagen,Golf,2018,Volkswagen Golf '18 EDITION 30,VolkswagenGolfEDITION30DSG'18,329740803,22.000€,,Κόμπακτ/Hatchback,1/2018,Βενζίνη,,,,,110bhp,Αυτόματο,Ασπρο,Ύφασμα,Μονό,7,5,5,10ώρεςπριν,2759,www.car.gr/329740803,6977007005,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,68.000χλμ,999cc,17ίντσες,110€,,2,,Μαύρο,109g/km,Euro5,,
Bmw,518,1991,Bmw 518,Bmw518'91,334074794,4.300€,,Λιμουζίνα/Sedan,6/1991,Βενζίνη,,,,,165bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Μονό,,4,5,5ώρεςπριν,689,www.car.gr/334074794,6955511959,"['Abs', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Φώτα led']",Μεταχειρισμένο,168.500χλμ,2.000cc,18ίντσες,,,,,,,,,
Mini,CooperD,2018,Mini Cooper D '18 ΑΒΑΦΟ άθικτο,MiniCooperDΑΒΑΦΟάθικτοΕΛΛΗΝΙΚΟ'18,328943203,17.580€,,Κόμπακτ/Hatchback,1/2018,Πετρέλαιο,,,,,116bhp,Αυτόματο,Πράσινοσκούρο(Μεταλλικό),Ύφασμα,Άγνωστο,,5,5,12ώρεςπριν,543,www.car.gr/328943203,"2104010421,6937510810","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,85.000χλμ,1.500cc,,,,,,Μαύρο,,Euro6,Προσθιοκίνητο(FWD),
Lexus,RX400,2008,Lexus RX 400 '08 Hybrid,LexusRX400HybridBoulevard'08,332990427,12.500€,,4χ4/Τζιπ/Suv,2/2008,Υβριδικόβενζίνη,,,,,272bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Δέρμα,Ζυγό,8,5,5,10ώρεςπριν,398,www.car.gr/332990427,6977007005,"['Abs', 'Adaptive cruise control (acc)', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μεταχειρισμένο,265.000χλμ,3.300cc,18ίντσες,,10(Εντός)/8(Μικτό)λ/100χλμ,2,,Μπεζ,,,4x4(4WD),
Jeep,Compass,2018,Jeep Compass '18 MJTD Longitude 120hp 2WD  1.6,JeepCompassMJTDLongitude120hp2WD1.6ΕΛΛΗΝΙΚΟ'18,333592077,21.580€,,4χ4/Τζιπ/Suv,7/2018,Πετρέλαιο,,,,,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Άγνωστο,,5,5,12ώρεςπριν,71,www.car.gr/333592077,"2104010421,6937510810","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,40.000χλμ,1.600cc,,,,,,Μαύρο,,Euro6,Προσθιοκίνητο(FWD),
Bmw,520,2014,Bmw 520 '14 euro 6  ανυχιαστο,Bmw520euro6ανυχιαστοαριστο'14,334492115,23.980€,,Λιμουζίνα/Sedan,8/2014,Πετρέλαιο,,,,,190bhp,Αυτόματο,Γκρι,Δέρμα,Άγνωστο,10,5,5,12ώρεςπριν,95,www.car.gr/334492115,"2104010421,6937510810",[],Μεταχειρισμένο,135.000χλμ,2.000cc,17ίντσες,,,,,,,Euro6,Πισωκίνητο(RWD),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,X1,2016,Bmw X1 '16  xDrive-18d-Steptronic-4x4,BmwX1xDrive-18d-Steptronic-4x4'16,331137473,24.900€,"480,35€/μήνα",4χ4/Τζιπ/Suv,5/2016,Πετρέλαιο,,,,,150bhp,Αυτόματο,Ασημί(Μεταλλικό),Δέρμα,Ζυγό,,5,5,1ημέραπριν,1766,www.car.gr/331137473,"2109960860,2109911001","['Abs', 'Adaptive cruise control (acc)', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,79.000χλμ,1.995cc,17ίντσες,,,,,Μαύρο,124g/km,,4x4(4WD),
